,time,ax,ay,az,gx,gy,gz,normAccel,normGyr
7500,75.22,9.71,0.13,-0.5413,0.0,0.0,0.0,9.7259,0.0
7501,75.23,9.71,0.13,-0.54,0.0,0.0,-0.0,9.7259,0.0
7502,75.24,9.71,0.1287,-0.54,0.0,0.0,0.0,9.7259,0.0
7503,75.25,9.71,0.1275,-0.54,0.0,0.0,0.0,9.7258,0.0
7504,75.26,9.71,0.1262,-0.54,0.0,0.0,0.0,9.7258,0.0
7505,75.27,9.71,0.125,-0.54,0.0,0.0,0.0,9.7258,0.0
7506,75.28,9.71,0.1238,-0.54,0.0,0.0,0.0,9.7258,0.0
7507,75.29,9.71,0.1225,-0.54,0.0,0.0,0.0,9.7258,0.0
7508,75.3,9.71,0.1213,-0.54,0.0,0.0,0.0,9.7258,0.0
7509,75.31,9.71,0.12,-0.54,-0.0,-0.0,-0.0,9.7257,0.0
7510,75.32,9.71,0.1214,-0.5429,0.0,0.0,0.0,9.7259,0.0
7511,75.33,9.71,0.1229,-0.5457,0.0,0.0,0.0,9.7261,0.0
7512,75.34,9.71,0.1243,-0.5486,0.0,0.0,0.0,9.7263,0.0
7513,75.35,9.71,0.1257,-0.5514,0.0,0.0,0.0,9.7265,0.0
7514,75.36,9.71,0.1271,-0.5543,0.0,0.0,0.0,9.7266,0.0
7515,75.37,9.71,0.1286,-0.5571,0.0,0.0,0.0,9.7268,0.0
7516,75.38,9.71,0.13,-0.56,0.0,-0.0,-0.0,9.727,0.0
7517,75.39,9.71,0.13,-0.56,0.0,0.0,0.0,9.727,0.0
7518,75.4,9.71,0.13,-0.56,0.0,0.0,0.0,9.727,0.0
7519,75.41,9.71,0.13,-0.56,0.0,0.0,0.0,9.727,0.0
7520,75.42,9.71,0.13,-0.56,0.0,0.0,0.0,9.727,0.0
7521,75.43,9.71,0.13,-0.56,0.0,0.0,0.0,9.727,0.0
7522,75.44,9.71,0.13,-0.56,0.0,0.0,0.0,9.727,0.0
7523,75.45,9.71,0.13,-0.56,0.0,0.0,0.0,9.727,0.0
7524,75.46,9.71,0.13,-0.56,-0.0,-0.0,-0.0,9.727,0.0
7525,75.47,9.71,0.13,-0.5575,0.0,0.0,0.0,9.7269,0.0
7526,75.48,9.71,0.13,-0.555,0.0,0.0,0.0,9.7267,0.0
7527,75.49,9.71,0.13,-0.5525,0.0,0.0,0.0,9.7266,0.0
7528,75.5,9.71,0.13,-0.55,0.0,0.0,0.0,9.7264,0.0
7529,75.51,9.71,0.13,-0.5475,0.0,0.0,0.0,9.7263,0.0
7530,75.52,9.71,0.13,-0.545,0.0,0.0,0.0,9.7262,0.0
7531,75.53,9.71,0.13,-0.5425,0.0,0.0,0.0,9.726,0.0
7532,75.54,9.71,0.13,-0.54,0.0,-0.0,-0.0,9.7259,0.0
7533,75.55,9.71,0.13,-0.54,0.0,-0.0,-0.0,9.7259,0.0
7534,75.56,9.7,0.12,-0.54,0.0,-0.0,0.0,9.7158,0.0
7535,75.57,9.7,0.12,-0.55,0.0,0.0,-0.0,9.7163,0.0
7536,75.58,9.7,0.12,-0.55,0.0,0.0,0.0,9.7163,0.0
7537,75.59,9.7,0.12,-0.55,0.0,0.0,-0.0,9.7163,0.0
7538,75.6,9.7,0.13,-0.55,-0.0,0.0,-0.0,9.7164,0.0
7539,75.61,9.72,0.13,-0.54,-0.0,0.0,-0.0,9.7359,0.0
7540,75.62,9.72,0.13,-0.54,-0.0,0.0,-0.0,9.7359,0.0
7541,75.63,9.715,0.12,-0.54,0.0,0.0,0.0,9.7307,0.0
7542,75.64,9.71,0.11,-0.54,-0.0,-0.0,-0.0,9.7256,0.0
7543,75.65,9.71,0.11,-0.54,-0.0,-0.0,-0.0,9.7256,0.0
7544,75.66,9.72,0.12,-0.57,0.0,-0.0,-0.0,9.7374,0.0
7545,75.67,9.72,0.13,-0.57,0.0,0.0,0.0,9.7376,0.0
7546,75.68,9.72,0.14,-0.57,0.0,-0.0,-0.0,9.7377,0.0
7547,75.69,9.72,0.14,-0.57,0.0,-0.0,-0.0,9.7377,0.0
7548,75.7,9.7,0.12,-0.53,0.0,0.0,-0.0,9.7152,0.0
7549,75.71,9.7,0.13,-0.55,0.0,0.0,-0.01,9.7164,0.573
7550,75.72,9.7,0.13,-0.55,0.0,0.0,-0.01,9.7164,0.573
7551,75.73,9.705,0.125,-0.55,0.0,0.0,-0.005,9.7214,0.2865
7552,75.74,9.71,0.12,-0.55,0.0,0.0,-0.0,9.7263,0.0
7553,75.75,9.71,0.12,-0.55,0.0,0.0,-0.0,9.7263,0.0
7554,75.76,9.7,0.11,-0.57,0.0,0.0,-0.0,9.7174,0.0
7555,75.77,9.705,0.12,-0.555,0.0,0.0,0.0,9.7216,0.0
7556,75.78,9.71,0.13,-0.54,-0.0,0.0,-0.0,9.7259,0.0
7557,75.79,9.71,0.13,-0.54,-0.0,0.0,-0.0,9.7259,0.0
7558,75.8,9.7,0.11,-0.53,-0.0,-0.0,-0.0,9.7151,0.0
7559,75.81,9.72,0.12,-0.53,-0.0,-0.0,0.0,9.7352,0.0
7560,75.82,9.72,0.12,-0.53,-0.0,-0.0,0.0,9.7352,0.0
7561,75.83,9.71,0.115,-0.54,0.0,0.0,0.0,9.7257,0.0
7562,75.84,9.7,0.11,-0.55,-0.0,-0.0,0.0,9.7162,0.0
7563,75.85,9.7,0.11,-0.55,-0.0,-0.0,0.0,9.7162,0.0
7564,75.86,9.74,0.13,-0.55,-0.0,-0.0,0.0,9.7564,0.0
7565,75.87,9.71,0.13,-0.59,-0.0,-0.0,-0.0,9.7288,0.0
7566,75.88,9.71,0.13,-0.59,0.0,0.0,0.0,9.7288,0.0
7567,75.89,9.71,0.13,-0.59,-0.0,-0.0,-0.0,9.7288,0.0
7568,75.9,9.73,0.14,-0.52,0.0,0.0,-0.01,9.7449,0.573
7569,75.91,9.73,0.14,-0.52,0.0,0.0,-0.01,9.7449,0.573
7570,75.92,9.745,0.135,-0.495,0.0,0.0,-0.005,9.7585,0.2865
7571,75.93,9.76,0.13,-0.47,0.0,0.0,-0.0,9.7722,0.0
